season,match_id,match_name,league_stage,year,venue,winning_margin,team_score_1,team_score_2,team_name_1,team_id_1,team_name_2,team_id_2,total_points_match,winner,loser,max_score
8,2706,Match 7,League,2021,"Sheraton Grand, Whitefield, Bengaluru",9,22,31,U Mumba,5,Dabang Delhi K.C.,2,53,Dabang Delhi K.C.,U Mumba,31
8,2707,Match 8,League,2021,"Sheraton Grand, Whitefield, Bengaluru",8,30,38,Tamil Thalaivas,29,Bengaluru Bulls,1,68,Bengaluru Bulls,Tamil Thalaivas,38
8,2708,Match 9,League,2021,"Sheraton Grand, Whitefield, Bengaluru",3,31,28,Bengal Warriors,4,Gujarat Giants,31,59,Bengal Warriors,Gujarat Giants,31
8,2709,Match 10,League,2021,"Sheraton Grand, Whitefield, Bengaluru",1,35,36,Patna Pirates,6,U.P. Yoddhas,30,71,U.P. Yoddhas,Patna Pirates,36
8,2710,Match 11,League,2021,"Sheraton Grand, Whitefield, Bengaluru",1,34,33,Puneri Paltan,7,Telugu Titans,8,67,Puneri Paltan,Telugu Titans,34
8,2711,Match 12,League,2021,"Sheraton Grand, Whitefield, Bengaluru",2,40,38,Jaipur Pink Panthers,3,Haryana Steelers,28,78,Jaipur Pink Panthers,Haryana Steelers,40
8,2712,Match 13,League,2021,"Sheraton Grand, Whitefield, Bengaluru",0,24,24,Gujarat Giants,31,Dabang Delhi K.C.,2,48,tied,tied,24
8,2713,Match 14,League,2021,"Sheraton Grand, Whitefield, Bengaluru",1,36,35,Bengaluru Bulls,1,Bengal Warriors,4,71,Bengaluru Bulls,Bengal Warriors,36
8,2714,Match 15,League,2021,"Sheraton Grand, Whitefield, Bengaluru",1,28,29,Tamil Thalaivas,29,U Mumba,5,57,U Mumba,Tamil Thalaivas,29
8,2715,Match 16,League,2021,"Sheraton Grand, Whitefield, Bengaluru",3,29,32,U.P. Yoddhas,30,Jaipur Pink Panthers,3,61,Jaipur Pink Panthers,U.P. Yoddhas,32
8,2716,Match 17,League,2021,"Sheraton Grand, Whitefield, Bengaluru",12,26,38,Puneri Paltan,7,Patna Pirates,6,64,Patna Pirates,Puneri Paltan,38
8,2717,Match 18,League,2021,"Sheraton Grand, Whitefield, Bengaluru",2,37,39,Telugu Titans,8,Haryana Steelers,28,76,Haryana Steelers,Telugu Titans,39
8,2718,Match 19,League,2021,"Sheraton Grand, Whitefield, Bengaluru",17,52,35,Dabang Delhi K.C.,2,Bengal Warriors,4,87,Dabang Delhi K.C.,Bengal Warriors,52
8,2719,Match 20,League,2021,"Sheraton Grand, Whitefield, Bengaluru",0,32,32,U.P. Yoddhas,30,Gujarat Giants,31,64,tied,tied,32
8,2720,Match 21,League,2021,"Sheraton Grand, Whitefield, Bengaluru",9,28,37,Jaipur Pink Panthers,3,U Mumba,5,65,U Mumba,Jaipur Pink Panthers,37
8,2721,Match 22,League,2021,"Sheraton Grand, Whitefield, Bengaluru",14,28,42,Haryana Steelers,28,Bengaluru Bulls,1,70,Bengaluru Bulls,Haryana Steelers,42
8,2722,Match 23,League,2021,"Sheraton Grand, Whitefield, Bengaluru",10,36,26,Tamil Thalaivas,29,Puneri Paltan,7,62,Tamil Thalaivas,Puneri Paltan,36
8,2723,Match 24,League,2021,"Sheraton Grand, Whitefield, Bengaluru",14,44,30,Patna Pirates,6,Bengal Warriors,4,74,Patna Pirates,Bengal Warriors,44
8,2724,Match 25,League,2021,"Sheraton Grand, Whitefield, Bengaluru",2,27,25,U Mumba,5,U.P. Yoddhas,30,52,U Mumba,U.P. Yoddhas,27
8,2725,Match 26,League,2021,"Sheraton Grand, Whitefield, Bengaluru",0,34,34,Bengaluru Bulls,1,Telugu Titans,8,68,tied,tied,34
8,2726,Match 27,League,2021,"Sheraton Grand, Whitefield, Bengaluru",0,30,30,Dabang Delhi K.C.,2,Tamil Thalaivas,29,60,tied,tied,30
8,2727,Match 28,League,2021,"Sheraton Grand, Whitefield, Bengaluru",2,36,38,Gujarat Giants,31,Haryana Steelers,28,74,Haryana Steelers,Gujarat Giants,38
8,2728,Match 29,League,2021,"Sheraton Grand, Whitefield, Bengaluru",11,29,40,Puneri Paltan,7,Bengaluru Bulls,1,69,Bengaluru Bulls,Puneri Paltan,40
8,2729,Match 30,League,2021,"Sheraton Grand, Whitefield, Bengaluru",3,31,28,Bengal Warriors,4,Jaipur Pink Panthers,3,59,Bengal Warriors,Jaipur Pink Panthers,31
8,2730,Match 31,League,2021,"Sheraton Grand, Whitefield, Bengaluru",1,30,31,Telugu Titans,8,Patna Pirates,6,61,Patna Pirates,Telugu Titans,31
8,2731,Match 32,League,2021,"Sheraton Grand, Whitefield, Bengaluru",0,24,24,Haryana Steelers,28,U Mumba,5,48,tied,tied,24
8,2732,Match 33,League,2021,"Sheraton Grand, Whitefield, Bengaluru",6,33,39,U.P. Yoddhas,30,Tamil Thalaivas,29,72,Tamil Thalaivas,U.P. Yoddhas,39
8,2733,Match 34,League,2021,"Sheraton Grand, Whitefield, Bengaluru",7,33,26,Puneri Paltan,7,Gujarat Giants,31,59,Puneri Paltan,Gujarat Giants,33
8,2734,Match 35,League,2021,"Sheraton Grand, Whitefield, Bengaluru",1,36,35,Dabang Delhi K.C.,2,Telugu Titans,8,71,Dabang Delhi K.C.,Telugu Titans,36
8,2735,Match 36,League,2021,"Sheraton Grand, Whitefield, Bengaluru",0,30,30,Patna Pirates,6,Tamil Thalaivas,29,60,tied,tied,30
8,2736,Match 37,League,2021,"Sheraton Grand, Whitefield, Bengaluru",7,38,31,Bengaluru Bulls,1,Jaipur Pink Panthers,3,69,Bengaluru Bulls,Jaipur Pink Panthers,38
8,2737,Match 38,League,2021,"Sheraton Grand, Whitefield, Bengaluru",4,37,41,Bengal Warriors,4,Haryana Steelers,28,78,Haryana Steelers,Bengal Warriors,41
8,2738,Match 39,League,2021,"Sheraton Grand, Whitefield, Bengaluru",5,31,26,Jaipur Pink Panthers,3,Puneri Paltan,7,57,Jaipur Pink Panthers,Puneri Paltan,31
8,2739,Match 40,League,2021,"Sheraton Grand, Whitefield, Bengaluru",4,33,37,U.P. Yoddhas,30,Dabang Delhi K.C.,2,70,Dabang Delhi K.C.,U.P. Yoddhas,37
8,2740,Match 41,League,2021,"Sheraton Grand, Whitefield, Bengaluru",10,48,38,U Mumba,5,Telugu Titans,8,86,U Mumba,Telugu Titans,48
8,2741,Match 42,League,2021,"Sheraton Grand, Whitefield, Bengaluru",1,26,27,Gujarat Giants,31,Patna Pirates,6,53,Patna Pirates,Gujarat Giants,27
8,2742,Match 43,League,2021,"Sheraton Grand, Whitefield, Bengaluru",12,39,27,Puneri Paltan,7,Bengal Warriors,4,66,Puneri Paltan,Bengal Warriors,39
