player_id,name,jersey_number,captain_count,played_count,green_card_count,yellow_card_count,red_card_count,starter_count,top_raider_count,top_defender_count,total_points,team_id,team_name,total_matches_in_season,season,team_name,cards_total
227,Vinod Paulyas,39,0,1,0,0,0,0,0,0,0,5,U Mumba,16,2,U Mumba,0
111,Sukesh Hegde,7,0,13,0,0,0,13,3,0,64,8,Telugu Titans,16,2,Telugu Titans,0
84,Rajaguru Subramanian,2,0,13,1,0,0,11,0,0,18,8,Telugu Titans,16,2,Telugu Titans,1
41,Deepak Nivas Hudda,5,2,15,1,0,0,15,1,5,96,8,Telugu Titans,16,2,Telugu Titans,1
81,Rahul Chaudhari,1,5,14,2,0,0,13,7,0,107,8,Telugu Titans,16,2,Telugu Titans,2
251,Meraj Sheykh,77,9,16,1,0,0,11,2,0,38,8,Telugu Titans,16,2,Telugu Titans,1
165,Sachin Shingade,17,0,12,0,0,0,2,0,0,2,8,Telugu Titans,16,2,Telugu Titans,0
248,Sandeep,8,0,16,1,0,0,16,0,10,70,8,Telugu Titans,16,2,Telugu Titans,1
36,Chandran Ranjit,20,0,7,0,0,0,1,0,0,1,8,Telugu Titans,16,2,Telugu Titans,0
97,Rupesh Tomar,3,0,9,0,0,0,1,0,0,10,8,Telugu Titans,16,2,Telugu Titans,0
155,Prashant Rai K,11,0,16,0,0,0,7,3,0,58,8,Telugu Titans,16,2,Telugu Titans,0
236,T. Prasad,15,0,11,0,0,0,2,0,0,4,8,Telugu Titans,16,2,Telugu Titans,0
238,Isac Antony,6,0,14,0,0,0,3,0,0,14,8,Telugu Titans,16,2,Telugu Titans,0
152,D. Gopu,12,0,8,0,0,0,7,0,0,9,8,Telugu Titans,16,2,Telugu Titans,0
250,Hyunil Park,33,0,9,0,0,0,0,0,0,3,8,Telugu Titans,16,2,Telugu Titans,0
249,Hadi Oshtorak,99,0,5,0,0,0,4,0,1,7,8,Telugu Titans,16,2,Telugu Titans,0
241,Ravit Kumar,10,0,5,0,0,0,3,0,0,2,8,Telugu Titans,16,2,Telugu Titans,0
261,Rohit Baliyan,4,0,5,0,0,0,1,0,0,12,8,Telugu Titans,16,2,Telugu Titans,0
239,Jishnu,66,0,4,0,0,0,2,0,0,1,8,Telugu Titans,16,2,Telugu Titans,0
195,Ashish Chhokar,6,0,7,0,0,0,5,1,0,13,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
202,Ashish Kumar,10,0,14,1,0,0,3,0,1,5,1,Bengaluru Bulls,16,2,Bengaluru Bulls,1
69,Manjeet Chhillar,5,16,16,6,0,0,16,4,4,107,1,Bengaluru Bulls,16,2,Bengaluru Bulls,6
85,Rajesh Mondal,4,0,15,1,0,0,11,1,0,34,1,Bengaluru Bulls,16,2,Bengaluru Bulls,1
197,Pardeep Narwal,35,0,7,0,0,0,4,1,0,9,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
42,Dharmaraj Cheralathan,1,0,15,0,0,0,15,0,5,61,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
194,Joginder Narwal,88,0,14,2,0,0,13,0,2,30,1,Bengaluru Bulls,16,2,Bengaluru Bulls,2
167,Preetam Chhillar,15,0,14,0,0,0,10,0,0,10,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
109,Somvir Shekhar,55,0,14,3,0,0,13,0,4,35,1,Bengaluru Bulls,16,2,Bengaluru Bulls,3
204,Rakesh Narwal,99,0,15,0,0,0,3,0,0,21,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
21,Sinotharan Kanesharajah,12,0,16,0,0,0,0,0,0,1,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
254,Michal Spiczko,77,0,14,0,0,0,0,0,0,0,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
26,Ajay Thakur,7,0,13,5,0,0,13,8,0,79,1,Bengaluru Bulls,16,2,Bengaluru Bulls,5
45,Gurpreet Singh,8,0,2,0,0,0,2,0,0,1,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
172,Vinoth Kumar,57,0,3,0,0,0,0,0,0,0,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
3,I Ketut Ariana,9,0,2,0,0,0,0,0,0,0,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
150,Parmod Narwal,25,0,5,0,0,0,1,0,0,0,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
174,Deepak K. Dahiya,67,0,3,0,0,0,1,1,0,6,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
201,Adinath Gavali,23,0,1,0,0,0,1,0,0,1,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
